Supplemental Table 1: Secreted Proteins Across Multi-Omics Analyses				
Gene	Correlation with CD8 T cell signature	Down in multiple tumor types	High expression in Fibroblast	Up in ICB responders
C1QA	Yes	No	No	Yes
C1QB	Yes	No	No	Yes
C1QC	Yes	No	No	No
CCL4L2	Yes	No	No	No
CD48	Yes	No	No	Yes
CD6	Yes	No	No	Yes
CXCL9	Yes	No	No	Yes
EBI3	Yes	No	No	Yes
FCGR3A	Yes	No	No	No
IL16	Yes	No	No	Yes
LILRA2	Yes	No	No	Yes
LY86	Yes	No	No	Yes
PILRA	Yes	No	No	Yes
RNASE6	Yes	No	No	Yes
CCL3	Yes	No	No	Yes
CCL4	Yes	No	No	No
CCL5	Yes	No	No	Yes
CD14	Yes	No	No	Yes
CD163	Yes	No	No	No
CSF1	Yes	No	No	No
CST7	Yes	No	No	Yes
CXCL10	Yes	No	No	No
CXCL11	Yes	No	No	Yes
FASLG	Yes	No	No	Yes
GZMA	Yes	No	No	Yes
GZMH	Yes	No	No	Yes
GZMK	Yes	No	No	Yes
GZMM	Yes	No	No	Yes
HLA-E	Yes	No	No	Yes
IFNG	Yes	No	No	Yes
IL10	Yes	No	No	No
IL18BP	Yes	No	No	Yes
LY9	Yes	No	No	Yes
PDCD1LG2	Yes	No	No	Yes
SLAMF1	Yes	No	No	No
XCL2	Yes	No	No	No
AOAH	Yes	No	No	No
APOE	Yes	No	No	Yes
B2M	Yes	No	No	Yes
C1orf54	Yes	No	No	Yes
CCL18	Yes	No	No	Yes
CD40LG	Yes	No	No	Yes
CSF2RA	Yes	No	No	No
FCGR3B	Yes	No	No	No
FGFBP2	Yes	No	No	No
HAMP	Yes	No	No	No
IGHM	Yes	No	No	Yes
IGHV1-18	Yes	No	No	Yes
IGHV1-46	Yes	No	No	No
IGHV3-11	Yes	No	No	Yes
IGHV3-15	Yes	No	No	Yes
IGHV3-21	Yes	No	No	Yes
IGHV3-23	Yes	No	No	Yes
IGHV3-30	Yes	No	No	Yes
IGHV4-34	Yes	No	No	No
IGHV4-39	Yes	No	No	No
IGHV4-59	Yes	No	No	Yes
IGHV5-51	Yes	No	No	Yes
IGKC	Yes	No	No	Yes
IGKV1-16	Yes	No	No	Yes
IGKV1-17	Yes	No	No	Yes
IGKV1-27	Yes	No	No	No
IGKV1-33	Yes	No	No	Yes
IGKV1-5	Yes	No	No	Yes
IGKV1-8	Yes	No	No	No
IGKV1-9	Yes	No	No	Yes
IGKV1D-39	Yes	No	No	Yes
IGKV2-28	Yes	No	No	No
IGKV2D-28	Yes	No	No	Yes
IGKV3-11	Yes	No	No	Yes
IGKV3-15	Yes	No	No	Yes
IGKV3-20	Yes	No	No	Yes
IGLC1	Yes	No	No	No
IGLC2	Yes	No	No	Yes
IGLL5	Yes	No	No	Yes
IGLV1-40	Yes	No	No	Yes
IGLV1-44	Yes	No	No	Yes
IGLV1-47	Yes	No	No	Yes
IGLV1-51	Yes	No	No	Yes
IGLV2-11	Yes	No	No	Yes
IGLV2-14	Yes	No	No	Yes
IGLV2-23	Yes	No	No	Yes
IGLV2-8	Yes	No	No	Yes
IGLV3-19	Yes	No	No	Yes
IGLV3-21	Yes	No	No	Yes
IGLV3-25	Yes	No	No	No
IGLV4-69	Yes	No	No	No
IGLV8-61	Yes	No	No	Yes
JCHAIN	Yes	No	No	No
LY96	Yes	No	No	No
PLA2G2D	Yes	No	No	Yes
ST8SIA4	Yes	No	No	Yes
TNFRSF1B	Yes	No	No	Yes
TNFSF13B	Yes	No	No	Yes
ADAMDEC1	Yes	No	No	Yes
APOC1	Yes	No	No	Yes
GNLY	Yes	No	No	Yes
GZMB	Yes	No	No	No
IGHA1	Yes	No	No	Yes
IGHG1	Yes	No	No	No
IGHG2	Yes	No	No	No
IGHG3	Yes	No	No	Yes
IGHV1-2	Yes	No	No	No
IGHV1-24	Yes	No	No	No
IGHV1-69-2	Yes	No	No	Yes
IGHV2-5	Yes	No	No	Yes
IGHV2-70	Yes	No	No	Yes
IGHV3-13	Yes	No	No	No
IGHV3-33	Yes	No	No	Yes
